id,start_time,completion_time,year,program_of_study,gpa,writing_is_easy_for_me,i_like_to_write,i_believe_it_is_important_to_be_a_good_writer,when_i_edit_it_is_easy_for_me_to_catch_my_mistakes,i_feel_confident_sharing_my_writing,i_am_confident_in_my_overall_writing_ability,coding_is_easy_for_me,i_like_to_code,i_believe_it_is_important_to_be_a_good_coder,when_i_check_my_code_it_is_easy_for_me_to_catch_my_mistakes,i_feel_confident_sharing_my_code,i_am_confident_in_my_overall_coding_ability,ai_familiarity,used_ai_any_reason,ai_schoolwork_appropriate,ai_schoolwork_appropriate_comments,used_ai_in_sta302,ai_helpful_weekly_quiz,ai_helpful_weekly_mini_essay,ai_helpful_papers_generating_ideas,ai_helpful_papers_writing_code,ai_helpful_papers_writing_content,ai_helpful_papers_improving_content,recs_for_ai_sta302,other_comments,not_used,used_technical_q,used_conversation,used_general_knowledge,used_solving_hmk,used_check_soln,used_quick_q,used_expl_concepts,used_writing_content,used_writing_code
19,2024-04-12T09:45:26Z,2024-04-12T10:21:10Z,3rd,Mathematics,3.9,This is a lot like me,This somewhat describes me,This is a lot like me,This is a lot like me,This is a lot like me,This is a lot like me,This somewhat describes me,This is very different to me,This is very different to me,This somewhat describes me,This somewhat describes me,This somewhat describes me,Very familiar,Yes,Appropriate,"I believe that generative AI tools can be very beneficial as a way of gathering ideas and learning various concepts. I've found such tools to be most useful when I've made errors and want to understand why they occurred and how best to tackle them as opposed to using these tools as a way to simply provide an immediate solution (as they are incorrect or overly complex in many cases). Moreover, they are quite useful in providing feedback and peer reviewing written works and can often provide useful insights instantaneously.",Yes,Very helpful,Very helpful,Not helpful,Very helpful,Somewhat helpful,Very helpful,"I feel as though generative AI tools are currently being employed in a very helpful manner for the course. Its use does not negate our learning but rather supplements it and in many cases simply saves students time from having to scour the net in search of solutions to, sometimes very basic, problems.",NA,0,1,1,1,1,1,1,1,1,1
20,2024-04-12T10:14:09Z,2024-04-12T10:21:31Z,3rd,Undeclared,3.8,This somewhat describes me,This somewhat describes me,This is a lot like me,This somewhat describes me,This somewhat describes me,This somewhat describes me,This somewhat describes me,This somewhat describes me,This is a lot like me,This somewhat describes me,This somewhat describes me,This somewhat describes me,Somewhat familiar,Yes,Appropriate,"Generative AI can serve as an additional resource for students to explore concepts and get quick answers. It can help clarify doubts, provide explanations, and offer examples to complex problems, effectively serving as an on-demand tutor.",Yes,I did not use generative AI for this component,Very helpful,Very helpful,Somewhat helpful,I did not use generative AI for this component,Somewhat helpful,"ChatGPT in educational settings offers many opportunities for enhancing learning experiences. Use ChatGPT as an additional resource for students to explore topics, clarify doubts, and get explanations on complex subjects. It can serve as a 24/7 tutor, providing instant feedback and explanations in a variety of subject areas.",NA,0,1,1,1,0,0,0,1,0,0
21,2024-04-12T10:26:49Z,2024-04-12T10:34:23Z,3rd,Undeclared,3,This is a lot like me,This somewhat describes me,This is a lot like me,This is a lot like me,This somewhat describes me,This somewhat describes me,This is very different to me,This is very different to me,This somewhat describes me,This somewhat describes me,This somewhat describes me,This somewhat describes me,Somewhat familiar,Yes,Appropriate,"I think with certain guidelines applied, it can be a very good tool to complement our learning. For example, making us share our ChatGPT conversations like you do is very effective.",Yes,Not helpful,Somewhat helpful,Very helpful,I did not use generative AI for this component,I did not use generative AI for this component,I did not use generative AI for this component,I think the way you allow us to use it currently is pretty good.,NA,0,1,1,0,0,0,1,1,0,0
22,2024-04-12T10:35:44Z,2024-04-12T10:42:26Z,3rd,Computer Science,4,This is a lot like me,This somewhat describes me,This is a lot like me,This somewhat describes me,This is a lot like me,This is a lot like me,This somewhat describes me,This somewhat describes me,This is a lot like me,This is very different to me,This somewhat describes me,This somewhat describes me,Somewhat familiar,Yes,Appropriate,"I believe it should be utilised wisely to make mundane daily tasks easier so us humans can actually focus on fulfilling tasks that belong to the higher levels of Bloom's taxonomy. Also, even using LLMs requires a unique skill of prompt engineering, which is as important as other academic skills like time management and research skills.",Yes,Somewhat helpful,Somewhat helpful,I did not use generative AI for this component,I did not use generative AI for this component,I did not use generative AI for this component,I did not use generative AI for this component,I believe that professor should include a section of relevant prompts after each topic that can help students learn the concepts and ask personalized questions to the LLM based on those well-crafted prompts. I also like how the professor made a dedicated GPT based on the textbook! Great idea!,NA,0,1,0,0,0,0,1,1,0,1
23,2024-04-12T10:37:52Z,2024-04-12T10:47:05Z,4th,Economics,3,This somewhat describes me,This somewhat describes me,This is a lot like me,This is a lot like me,This is a lot like me,This is a lot like me,This is very different to me,This is very different to me,This somewhat describes me,This somewhat describes me,This somewhat describes me,This is very different to me,Somewhat familiar,Yes,Appropriate,I think it is appropriate because AI is the future and no employer will stop you from using chat GPT to do your job better.,Yes,Somewhat helpful,Not helpful,Not helpful,Very helpful,Somewhat helpful,Somewhat helpful,Should be allowed as all students might not have coding experience,No,0,1,0,0,1,1,1,1,0,1
24,2024-04-12T10:47:45Z,2024-04-12T10:52:29Z,4th,Statistics,2.5,This is a lot like me,This is a lot like me,This somewhat describes me,This is a lot like me,This is a lot like me,This is a lot like me,This somewhat describes me,This is a lot like me,This is a lot like me,This is very different to me,This somewhat describes me,This is very different to me,Somewhat familiar,Yes,Inappropriate,School was better before AI. People rely on it for everything now and aren’t able to understand concepts since they resort to asking AI to do tasks,No,Not helpful,Not helpful,Not helpful,Not helpful,Not helpful,Not helpful,It shouldn’t be used since it isn’t always correct. It should be used for non academic purposes.,NA,0,0,0,0,0,0,0,1,0,0
25,2024-04-12T10:43:08Z,2024-04-12T10:56:58Z,3rd,Undeclared,3.6,This somewhat describes me,This somewhat describes me,This is a lot like me,This is a lot like me,This is a lot like me,This somewhat describes me,This is a lot like me,This is a lot like me,This is a lot like me,This somewhat describes me,This is a lot like me,This is a lot like me,Very familiar,Yes,Appropriate,"I believe using generative AI tools is incredibly helpful for school. The key is being able to use these tools to help you learn. If you use these tools appropriately, they shouldn't take the learning away from you, but instead guide you.",Yes,Very helpful,Very helpful,I did not use generative AI for this component,Very helpful,Very helpful,Somewhat helpful,I believe that allowing generative AI tools for this course is incredibly helpful. Using ChatGPT to help generate code allows us to focus more on the logic and reasoning behind our code instead of the syntax. I also found it helpful to use ChatGPT to start us off with some basic ideas for our introduction and discussion sections.,NA,0,1,0,1,1,1,1,1,1,1
26,2024-04-12T10:48:21Z,2024-04-12T10:57:36Z,4th,Undeclared,2.3,This is a lot like me,This is very different to me,This is a lot like me,This is very different to me,This is very different to me,This is a lot like me,This is very different to me,This is a lot like me,This is a lot like me,This is very different to me,This is very different to me,This is very different to me,Very familiar,Yes,Appropriate,"Students should always learn course concepts for themselves and always submit original work, but it's alright to use AI to understand course work and to brainstorm ideas when stuck.",Yes,I did not use generative AI for this component,I did not use generative AI for this component,I did not use generative AI for this component,Not helpful,Not helpful,I did not use generative AI for this component,"I think what we're doing now is nice. It's good to take a class where we're not forced to use AI in our work, but are allowed the option to use it if we need to. And I like that we're taught to cite and be transparent about where we used AI. It think this will lead to more ethical use of AI.",none,0,1,0,1,0,1,1,1,0,0
27,2024-04-12T10:23:36Z,2024-04-12T11:04:27Z,4th,Undeclared,1.9,This is very different to me,This is very different to me,This somewhat describes me,This somewhat describes me,This is very different to me,This somewhat describes me,This somewhat describes me,This somewhat describes me,This somewhat describes me,This somewhat describes me,This somewhat describes me,This somewhat describes me,Very familiar,Yes,Appropriate,"This idea of not adopting the usage of A.I. I find to be rather confusing and nonprogressive. The school system is heavily flawed in that the majority of the work can be done with A.I. to some degree. You can certainly make the argument that it may not be perfect, but I would say it gets at least 80% of the way there. There have already been numerous studies and reports of ChatGPT passing tests from harvard or passing the bar exam, etc. Not to mention that A.I. is still in a very infant stage. How will schools be able to compete with A.I. in a few years from now? Are they gonna continue to grasp at straws to do everything they can to ban the usage of A.I.? Or would they take a smarter approach which is to incorporate the usage of A.I. into their learning funnels and expand on subjects that cannot be replaced or done by A.I. How about instead of funneling students into degrees that have no merit once they graduate due to the job marketplace of said degree or because of the adoption of A.I. into these workplaces, you make students go for degrees such as learning about A.I., learning about human connection, learning about building communities, skills which A.I. can never replicate nor produce.",Yes,Very helpful,Very helpful,Very helpful,Very helpful,Very helpful,Very helpful,I believe you should continue incorporating A.I. tools into this course for the foreseeable future.,Other courses not just STA302 should follow this teaching philosophy of using A.I.,0,1,0,1,1,1,1,1,1,1
28,2024-04-12T10:53:00Z,2024-04-12T11:08:50Z,4th,Undeclared,3.6,This somewhat describes me,This somewhat describes me,This somewhat describes me,This somewhat describes me,This somewhat describes me,This somewhat describes me,This somewhat describes me,This is a lot like me,This somewhat describes me,This somewhat describes me,This somewhat describes me,This somewhat describes me,Somewhat familiar,Yes,Appropriate,"It is a tool. It is valuable for students to become useful during their time in university, not being able to utilize tools appropriately keeps people behind.",Yes,Somewhat helpful,Somewhat helpful,Not helpful,Very helpful,Somewhat helpful,I did not use generative AI for this component,I think they should be used as much as possible.,Rohan is a great prof and it was awesome getting to learn from him,0,1,1,1,1,0,1,1,1,1
29,2024-04-12T11:03:46Z,2024-04-12T11:14:40Z,4th,Undeclared,3,This is very different to me,This is very different to me,This is a lot like me,This somewhat describes me,This is very different to me,This is very different to me,This somewhat describes me,This is a lot like me,This is a lot like me,This is a lot like me,This somewhat describes me,This somewhat describes me,Very familiar,Yes,Appropriate,I think it appropriate to use AI tools to help with code since it help save time as you might have a very specific question which may not find answer easily on google. But I still think important to know the coding basics and not rely too heavily on these tools. I think fine to use for explaining concepts since sometimes a different answer then one provided in class can make it easier to understand a certain concept.,Yes,Somewhat helpful,Very helpful,Very helpful,Very helpful,I did not use generative AI for this component,I did not use generative AI for this component,"I think this iteration of this course, use of AI tools was nice and wouldn't change a thing about it.",NA,0,1,0,1,0,1,1,1,0,1
30,2024-04-12T10:58:04Z,2024-04-12T11:25:45Z,PEY,Engineering,3.2,This somewhat describes me,This is very different to me,This somewhat describes me,This is a lot like me,This somewhat describes me,This is a lot like me,This is a lot like me,This is a lot like me,This is a lot like me,This is a lot like me,This somewhat describes me,This is a lot like me,Very familiar,Yes,Appropriate,"I think these AI tools can be used in schoolwork as long as they are used reasonably. They are just like Google to me, they can help me to understand concepts and theorems and provide some ideas.",Yes,Very helpful,I did not use generative AI for this component,I did not use generative AI for this component,Somewhat helpful,I did not use generative AI for this component,Somewhat helpful,I think these AI tools can provide some coding ideas for people without R language foundation in the initial learning process. They can also provide some ideas when writing the report or help polish the text.,NA,0,1,1,1,1,1,1,1,0,0
31,2024-04-12T11:21:03Z,2024-04-12T11:30:22Z,3rd,Undeclared,2.7,This somewhat describes me,This is very different to me,This somewhat describes me,This is a lot like me,This somewhat describes me,This is a lot like me,This somewhat describes me,This is a lot like me,This is a lot like me,This somewhat describes me,This somewhat describes me,This somewhat describes me,Somewhat familiar,Yes,Appropriate,"I kind of look at ChatGPT as a more personalized Google search, if using the internet is allowed for schoolwork, then I don't see why ChatGPT would be much different. For example, you can usually find most stuff that ChatGPT tells you from a Google search, it just takes a lot longer at times.",Yes,Somewhat helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful,Not helpful,Somewhat helpful,I think the way these tools are used currently is completely fine.,Thank you for a nice semester,0,1,1,1,0,0,1,1,0,1
32,2024-04-12T11:22:46Z,2024-04-12T11:31:33Z,3rd,Physics,4,This somewhat describes me,This somewhat describes me,This is a lot like me,This is a lot like me,This somewhat describes me,This is a lot like me,This is a lot like me,This somewhat describes me,This is a lot like me,This is a lot like me,This is a lot like me,This is a lot like me,Somewhat familiar,Yes,Inappropriate,"ChatGPT can hallucinate and give false information, so it is not appropriate for use with respect to schoolwork.",No,I did not use generative AI for this component,I did not use generative AI for this component,I did not use generative AI for this component,I did not use generative AI for this component,I did not use generative AI for this component,I did not use generative AI for this component,They should not be used in the course in future.,N/A,0,0,1,0,0,0,0,0,0,0
33,2024-04-12T11:42:10Z,2024-04-12T11:54:16Z,5th,Undeclared,4,This is very different to me,This somewhat describes me,This is a lot like me,This is a lot like me,This somewhat describes me,This somewhat describes me,This is very different to me,This is very different to me,This is a lot like me,This is very different to me,This is very different to me,This is very different to me,Somewhat familiar,Yes,Appropriate,"Relying on ChatGPT as a modest support is appropriate for saving time and learning valuable insights. ChatGPT is able to generate ideas, provide explanations and produce generally accurate pieces of code that aid one in one's work and support learning. ChatGPT is inappropriate when one relies too heavily on it for one's schoolwork, because it could hinder a student's ability to think critically, conduct research, and develop skills/ideas indepnedently. There is also a possibility of plagiarism if students use AI without giving accreditation to the proper source.",Yes,Somewhat helpful,I did not use generative AI for this component,I did not use generative AI for this component,Very helpful,Not helpful,Not helpful,"Relying on ChatGPT too heavily has important drawbacks: it hinders learning, critical thinking and the independent development of skills. In the future, I do believe that certain limitations as to AI use should be imposed on the students to better guide their learning. For instance, there should be only specific scenarios where the use of ChatGPT should be permitted, like in the clarification of concepts or the improvement of a piece of code, but restricted for tasks that require original synthesis or critical analysis. Perhaps a recommended quota on the number of interactions students can have with ChatGPT on a particular assignment should be helpful. 

In the place of ChatGPT, other forms of educational support can be introduced to the course. For instance, peer collaboration, where one works together to brainstorm ideas and clarify concepts on paper, can help develop critical skills reduce the risk of over-reliance on ChatGPT.",None.,0,1,0,1,0,0,0,1,1,1
34,2024-04-12T11:53:45Z,2024-04-12T12:02:03Z,5th,Undeclared,2.5,This is very different to me,This is very different to me,This is very different to me,This somewhat describes me,This is very different to me,This is very different to me,This somewhat describes me,This somewhat describes me,This somewhat describes me,This is very different to me,This is very different to me,This somewhat describes me,Very familiar,Yes,Appropriate,As we had a guest lecturer in class that gave us some similarities to what using generative ai could be cobsidered to be most like it seemed to me the most similar would br a tool that translates code from one language to another which i believe is still the work of the original author,Yes,Very helpful,I did not use generative AI for this component,Somewhat helpful,Very helpful,I did not use generative AI for this component,Very helpful,"Carefully as it can be very helpful but mistakes are also rather prevalent. This is going to replace people any time soon but those who know how to use it properly are at a greater advantage, like any new skill.",NA,0,1,0,1,1,1,1,1,1,1
36,2024-04-12T12:18:57Z,2024-04-12T12:23:59Z,4th,Undeclared,2.7,This is very different to me,This is very different to me,This is very different to me,This is very different to me,This is very different to me,This is very different to me,This is a lot like me,This is a lot like me,This is a lot like me,This is a lot like me,This is a lot like me,This is a lot like me,Very familiar,Yes,Appropriate,I think its use will be prevalent in the future. AI cannot form complete arguments for you and there someone with no ability or understanding of a topic with AI will still convey their ability.,Yes,Somewhat helpful,Not helpful,Not helpful,Very helpful,Somewhat helpful,Not helpful,"For writing code!!! Definitely, makes the learning curve so much less",NA,0,1,0,1,1,1,1,0,1,1
37,2024-04-12T12:23:13Z,2024-04-12T12:28:06Z,3rd,Mathematics,4,This is very different to me,This somewhat describes me,This is a lot like me,This somewhat describes me,This is very different to me,This is very different to me,This is a lot like me,This is a lot like me,This is a lot like me,This is a lot like me,This somewhat describes me,This somewhat describes me,Somewhat familiar,No,Inappropriate,I think student should complete schoolwork independently.,Yes,Somewhat helpful,Not helpful,Not helpful,Somewhat helpful,Not helpful,Somewhat helpful,Maybe use it to help check the codes.,No,0,1,0,0,0,0,0,0,0,0
38,2024-04-12T12:29:56Z,2024-04-12T12:38:39Z,4th,Undeclared,2.6,This somewhat describes me,This is very different to me,This somewhat describes me,This is a lot like me,This is very different to me,This somewhat describes me,This somewhat describes me,This somewhat describes me,This is a lot like me,This is very different to me,This is very different to me,This somewhat describes me,Somewhat familiar,Yes,Appropriate,Time management,Yes,Somewhat helpful,Somewhat helpful,Very helpful,Somewhat helpful,Somewhat helpful,Very helpful,Solve students' technical problems.,NA,0,1,1,1,0,1,1,1,0,0
39,2024-04-12T12:30:55Z,2024-04-12T12:40:05Z,3rd,Statistics,2.9,This somewhat describes me,This somewhat describes me,This somewhat describes me,This somewhat describes me,This somewhat describes me,This somewhat describes me,This somewhat describes me,This somewhat describes me,This somewhat describes me,This somewhat describes me,This somewhat describes me,This somewhat describes me,Somewhat familiar,Yes,Appropriate,I think it is appropriate to use it for asking questions when stuck rather than asking it do all homework,Yes,Very helpful,Very helpful,Somewhat helpful,Very helpful,Not helpful,Somewhat helpful,I think AI helps me find the error in the code and generate code when I get stuck.,NA,0,1,1,1,0,0,1,1,1,1
